"","V1"
"tweet644.txt",2
"tweet645.txt",2
"tweet646.txt",2
"tweet647.txt",4
"tweet648.txt",1
"tweet649.txt",3
"tweet65.txt",5
"tweet650.txt",4
"tweet651.txt",2
"tweet652.txt",1
"tweet653.txt",2
"tweet654.txt",2
"tweet655.txt",2
"tweet656.txt",1
"tweet657.txt",4
"tweet658.txt",5
"tweet659.txt",5
"tweet66.txt",3
"tweet660.txt",5
"tweet661.txt",2
"tweet662.txt",4
"tweet663.txt",3
"tweet664.txt",2
"tweet665.txt",1
"tweet666.txt",2
"tweet667.txt",2
"tweet668.txt",2
"tweet669.txt",2
"tweet67.txt",2
"tweet670.txt",2
"tweet671.txt",4
"tweet672.txt",4
"tweet673.txt",2
"tweet674.txt",4
"tweet675.txt",2
"tweet676.txt",1
"tweet677.txt",2
"tweet678.txt",4
"tweet679.txt",3
"tweet68.txt",1
"tweet680.txt",3
"tweet681.txt",2
"tweet682.txt",1
"tweet683.txt",2
"tweet684.txt",1
"tweet685.txt",2
"tweet686.txt",2
"tweet687.txt",1
"tweet688.txt",2
"tweet689.txt",1
"tweet69.txt",1
"tweet690.txt",2
"tweet691.txt",1
"tweet692.txt",2
"tweet693.txt",5
"tweet694.txt",2
"tweet695.txt",5
"tweet696.txt",2
"tweet697.txt",3
"tweet698.txt",4
"tweet699.txt",1
"tweet7.txt",3
"tweet70.txt",4
"tweet700.txt",1
"tweet701.txt",2
"tweet702.txt",2
"tweet703.txt",2
"tweet704.txt",4
"tweet705.txt",2
"tweet706.txt",2
"tweet707.txt",3
"tweet708.txt",3
"tweet709.txt",2
"tweet71.txt",1
"tweet710.txt",2
"tweet711.txt",2
"tweet712.txt",2
"tweet713.txt",1
"tweet714.txt",4
"tweet715.txt",3
"tweet716.txt",4
"tweet717.txt",2
"tweet718.txt",3
"tweet719.txt",4
"tweet72.txt",1
"tweet720.txt",5
